"date_id","fulldate","dayofmonth","dayofyear","dayofweek","dayname","monthnumber","monthname","year","quarter"
"1000","2003-01-06","6","6","2","Monday","1","January","2003","1"
"1001","2003-01-07","7","7","3","Tuesday","1","January","2003","1"
"1002","2003-01-08","8","8","4","Wednesday","1","January","2003","1"
"1003","2003-01-09","9","9","5","Thursday","1","January","2003","1"
"1004","2003-01-10","10","10","6","Friday","1","January","2003","1"
"1005","2003-01-11","11","11","7","Saturday","1","January","2003","1"
"1006","2003-01-12","12","12","1","Sunday","1","January","2003","1"
"1007","2003-01-13","13","13","2","Monday","1","January","2003","1"
"1008","2003-01-14","14","14","3","Tuesday","1","January","2003","1"
"1009","2003-01-15","15","15","4","Wednesday","1","January","2003","1"
"1010","2003-01-16","16","16","5","Thursday","1","January","2003","1"
"1011","2003-01-17","17","17","6","Friday","1","January","2003","1"
"1012","2003-01-18","18","18","7","Saturday","1","January","2003","1"
"1013","2003-01-19","19","19","1","Sunday","1","January","2003","1"
"1014","2003-01-20","20","20","2","Monday","1","January","2003","1"
"1015","2003-01-21","21","21","3","Tuesday","1","January","2003","1"
"1016","2003-01-22","22","22","4","Wednesday","1","January","2003","1"
"1017","2003-01-23","23","23","5","Thursday","1","January","2003","1"
"1018","2003-01-24","24","24","6","Friday","1","January","2003","1"
"1019","2003-01-25","25","25","7","Saturday","1","January","2003","1"
"1020","2003-01-26","26","26","1","Sunday","1","January","2003","1"
"1021","2003-01-27","27","27","2","Monday","1","January","2003","1"
"1022","2003-01-28","28","28","3","Tuesday","1","January","2003","1"
"1023","2003-01-29","29","29","4","Wednesday","1","January","2003","1"
"1024","2003-01-30","30","30","5","Thursday","1","January","2003","1"
"1025","2003-01-31","31","31","6","Friday","1","January","2003","1"
"1026","2003-02-01","1","32","7","Saturday","2","February","2003","1"
"1027","2003-02-02","2","33","1","Sunday","2","February","2003","1"
"1028","2003-02-03","3","34","2","Monday","2","February","2003","1"
"1029","2003-02-04","4","35","3","Tuesday","2","February","2003","1"
"1030","2003-02-05","5","36","4","Wednesday","2","February","2003","1"
"1031","2003-02-06","6","37","5","Thursday","2","February","2003","1"
"1032","2003-02-07","7","38","6","Friday","2","February","2003","1"
"1033","2003-02-08","8","39","7","Saturday","2","February","2003","1"
"1034","2003-02-09","9","40","1","Sunday","2","February","2003","1"
"1035","2003-02-10","10","41","2","Monday","2","February","2003","1"
"1036","2003-02-11","11","42","3","Tuesday","2","February","2003","1"
"1037","2003-02-12","12","43","4","Wednesday","2","February","2003","1"
"1038","2003-02-13","13","44","5","Thursday","2","February","2003","1"
"1039","2003-02-14","14","45","6","Friday","2","February","2003","1"
"1040","2003-02-15","15","46","7","Saturday","2","February","2003","1"
"1041","2003-02-16","16","47","1","Sunday","2","February","2003","1"
"1042","2003-02-17","17","48","2","Monday","2","February","2003","1"
"1043","2003-02-18","18","49","3","Tuesday","2","February","2003","1"
"1044","2003-02-19","19","50","4","Wednesday","2","February","2003","1"
"1045","2003-02-20","20","51","5","Thursday","2","February","2003","1"
"1046","2003-02-21","21","52","6","Friday","2","February","2003","1"
"1047","2003-02-22","22","53","7","Saturday","2","February","2003","1"
"1048","2003-02-23","23","54","1","Sunday","2","February","2003","1"
"1049","2003-02-24","24","55","2","Monday","2","February","2003","1"
"1050","2003-02-25","25","56","3","Tuesday","2","February","2003","1"
"1051","2003-02-26","26","57","4","Wednesday","2","February","2003","1"
